id,channel,timestamp,raw_text
REQ-001,Slack,2026-06-08 09:14,"Привіт! Можна якось автоматизувати щотижневий звіт по Google Ads? Зараз руками вивантажую CSV і копіюю в табличку щопонеділка, займає десь годину. Треба основні метрики по кампаніях."
REQ-002,Telegram,2026-06-08 09:31,хлопці треба бот
REQ-003,Email,2026-06-08 10:02,"Доброго дня. У відділі продажів накопичується багато транскриптів дзвінків з клієнтами. Хочемо, щоб по кожному дзвінку автоматично формувалося коротке саммарі + список домовленостей, і це падало в PlanFix у картку угоди. Це реально?"
REQ-004,Slack,2026-06-08 10:20,"Питання радше теоретичне: чи можна взагалі за допомогою AI оцінювати якість наших статей у блозі перед публікацією? Поки що нічого впроваджувати не треба, просто цікаво ваша думка."
REQ-005,Telegram,2026-06-08 11:05,"ГОРИТЬ. Сьогодні до вечора треба вивантажити список усіх контрагентів з витратами понад 50к за травень, бухгалтерія просить терміново. можете швидко?"
REQ-006,Email,2026-06-08 11:40,"Hi team, we need a small service that takes our weekly analytics export from BigQuery and generates a short plain-language summary of the key changes week-over-week. Output ideally in a Google Doc. Хто може взятись?"
REQ-007,Slack,2026-06-08 12:15,"У нас зламалась автоматизація по інвойсам з Мети — з понеділка нічого не парситься, рахунки висять. Хто це робив? треба полагодити"
REQ-008,Telegram,2026-06-08 13:02,"дякую за вчора, все працює супер 🙌"
REQ-009,Email,2026-06-08 13:48,"Колеги, в HR хочемо прискорити первинний скринінг резюме на технічні вакансії. Ідея: завантажуємо PDF резюме, на виході — структуровані поля (досвід, стек, відповідність вимогам) і коротка оцінка. Обсяг — десь 30-50 резюме на тиждень."
REQ-010,Slack,2026-06-08 14:11,"Можна автоматизувати збір згадок про Netpeak в телеграм-каналах і робити дайджест раз на день? І ще окремо — алерт, якщо згадка негативна. Дві задачі по суті, але обидві про моніторинг."
REQ-011,Telegram,2026-06-08 14:55,нам би табличку якусь
REQ-012,Email,2026-06-08 15:30,"Доброго дня! Хотіли б закупити новий потужний ноутбук для рендеру відео в SMM-відділі, бюджет до 80к. Куди подати заявку?"
REQ-013,Slack,2026-06-08 16:02,"Привіт. Той самий звіт по Google Ads, що Оля просила в понеділок — мені теж дуже потрібен, я в тій же команді. Можна щоб і мені приходив?"
REQ-014,Telegram,2026-06-08 16:40,"є ідея, гляньте https://example.com/some-tool можливо щось схоже зробимо для нас, не горить"
REQ-015,Email,2026-06-08 17:12,"Команда контенту просить інструмент, який з довгого інтерв'ю (текст 10-15 сторінок) робить 5 коротких постів для соцмереж у нашому tone of voice. Пріоритет середній, треба десь до кінця місяця."
REQ-016,Slack,2026-06-09 09:08,чат це нормально що в ассистента по базі знань іноді відповіді не зовсім по темі? просто хочу зрозуміти це баг чи так і має бути
REQ-017,Telegram,2026-06-09 09:50,терміново треба інтеграція слака з планфіксом щоб задачі з каналу #support автоматом створювались тікетами. дуже багато ручної роботи зараз
REQ-018,Email,2026-06-09 10:25,"Доброго ранку. Аналітика хоче дашборд, який раз на день підтягує дані з BigQuery і показує аномалії у витратах по підрядниках (різкі стрибки). Бажано з поясненням природною мовою, чому щось виглядає підозріло."
